ticker
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
AMD
NFLX
BABA
PLTR
SOFI
RIVN
LCID
HOOD
COIN
MARA
RIOT
CLSK
HUT
SOUN
BBAI
AIOT
AI
ARRY
JOBY
ACHR
LILM
WKHS
GOEV
NKLA
FFIE
MULN
IDEANOMICS
XPEV
NIO
LI
NKLA
PTRA
FSR
HYZON
HYZN
BLNK
CHPT
EVGO
SPNV
MVIS
CANO
OPAD
PAYO
CLOV
WISH
SPCE
GREE
GNUS
GFAI
STIC
MDVX
TPST
PHVS
SINT
SNTX
AGEN
CRBP
NEOS
BFRI
MESO
EMED
PRTA
AVXL
SIGA
VXRT
OCGN
NVAX
SRNE
TTOO
NWBO
HGEN
CTXR
ATOS
GTHX
XENE
VRNA
RVNC
CARA
CYTH
ONCY
FREQ
MYNZ
APLS
FOLD
ARDX
FATE
KRTX
THTX
IMTX
GOSS
ACHV
ADAP
ABOS
ABCL
ACAD
ACIA
ACLS
ACMR
ACRX
ACST
ACTG
ADBE
ADMA
ADNC
ADNT
ADPT
ADSK
ADTN
ADUS
ADVM
AEGN
AEHR
AEYE
AGIO
AGYS
AHCO
AHPI
AIOT
AIXI
AKBA
AKRO
AKTS
ALBO
ALCC
ALEC
ALIT
ALKT
ALLK
ALLT
ALLO
ALLR
ALNY
ALOT
ALRS
ALRM
ALSA
ALSE
ALSK
ALST
ALTG
ALTI
ALTO
ALTR
ALTU
ALUS
ALVR
ALXO
AMBA
AMGN
AMKR
AMPL
AMSC
AMTB
AMTX
AMWD
ANAB
ANDE
ANGI
ANIP
ANSS
ANTE
AORT
APGE
APLT
APOG
APPF
APPH
APPN
APPS
APRE
APTV
APVO
APWC
APXI
ARCO
ARDX
AREC
ARHS
ARIT
ARKK
ARLO
ARMO
ARNC
AROC
ARQT
ARQQ
ARRY
ARTE
ARTL
ARTNA
ARWR
ARYA
ASLE
ASND
ASTE
ASTH
ASTR
ASTRO
ASUR
ASXC
ATAI
ATEC
ATEX
ATHX
ATIF
ATLO
ATMU
ATOM
ATNF
ATNI
ATRC
ATRI
ATRS
ATSG
ATUS
ATVI
ATXG
ATXI
ATXS
ATYR
AUBN
AUDC
AUGX
AUID
AUMN
AUPH
AURC
AUUD
AVAH
AVAV
AVDL
AVEO
AVGO
AVID
AVIR
AVNS
AVNW
AVPT
AVRO
AVTA
